stem_question,stem_answer
roma senatosu nun otoritesinin genel kaynağı neydi,senatörlerin saygınlığı prestij
roma senatosu olası odak noktası alandı,dış politika
büyük sıkıntı dönemlerinde roma bedeni üyelerini kendine seçer,senato üyelerini seçecek
roma mahkemelerinde başkenti kimin denetlemesi beklenir,derlemeler
kabilelerin toplanması belirli kabilelere ayrıldı,coğrafi alt bölümler
kabileler toplantısı oylamaya zaman son verecekti,kez önlem kabilelerin çoğunluğundan destek aldı
kimin yargıca güç verme hakkı vardı,kategori roma daki kişiler
en yetkili anayasal güç kabul edilir,imperium
emperyumun anayasal gücü yargıca verdi,askeri kuvvet komuta yetkisi
romalı yargıcın kararını tersine çevirmek kimi görmeye gider,tribün
seçilmiş sansür süre ofiste kalabilir,18 aylık dönem
memurun öncelikle finans konularında görevleri vardı,quaestors
diktatörün döneminin başlaması sırasında olur,anayasa hükümeti eriyecek
haraç tür suç tedavi edildi,sermaye suç
tribün güçlerinin nihai kaynağı neydi,onların kutsallığı
roma nın kültürde aşırı miktarda etkisi vardı,kategori avrupa kültürleri
roma halkının yüzde kaçının köle olduğu düşünülür,25 üzerinde
köle ustalarının kölelerini roma cumhuriyeti nde serbest bırakmalarına izin verildi,köle sunulan hizmetler ustalar tarafından serbest bırakıldı
roma mahkemelerinde adalet aramaktan sorumluydu,davayı kanıtlamak zorunda kaldı suçlayan
erkek cinsiyetli yetişkinler tarafından roma vatandaşı statülerini iletmek giysi giyildi,toga virilis
roma cumhuriyeti ndeki temel gıdalar zaman yendi,saat 11 yönünde
roma cumhuriyeti ndeki insanlar katı gıdaları tüketmek kullandılar,parmaklar kullanıldı
poltikal rakipleri karalamak zorlayıcı yol kabul edildi,alkolik olmanın doğru suçlaması
yemekler sırasında şarap yaygın içildi,yemekler
romalıların çeşitli eğitim kavramlarını sistemlerine uygun olmalarına sebep oldu,yunan doğu çeşitli askeri fetihler
roma edebiyatını büyük ölçüde etkilemekten sorumluydu,kategori yunan yazarlar
roma cumhuriyeti ndeki olaylar genellikle müzik içerebilir,özel kamu etkinlikleri müzik eşliğinde
bizim zamanımızda hala roma yapıları,2 000 yıldan fazla süre bile roma yapıları hala muhteşem duruyor
başkentin yönü roma cumhuriyeti ndeki diğer kent merkezleri tarafından taklit edildi,mimari stil
gençlerin oynadığı icra ettiği alanın adı neydi,martius kampüsü
roma kampüsü maritus diyebilirsin,kategori mars sahası
roma medeniyetinde ibadet edilen tanrıların büyük kısmı nereden geldi,proto hint avrupa panteon
roma toplumunda tanrılara tapınak kabul edildi,hanehalkı
çoğu insan zaman pasifik savaşı nın başladığına inanıyor,aralık ayı başlarında 1941
japonya tayland a saldırdı,japonya tayland ı işgal etti
japonya savaşı olaylar sona erdi,hiroşima nagasaki nin atom bombalaması
savaştan japonya nın iktidarında değişti,yeni liberal demokratik anayasa
japonya savaş isimle sevk edildi,kategori büyük doğu asya savaşı
japonya nın savaş verdiği sebep neydi,batı güçlerinden bağımsızlıklarını elde
japonya savaşa isim verdi,kategori büyük doğu asya savaşı
tayland savaşta rol oynadı,geçici ittifak
burma eskiden ülke tarafından ilhak edildi,britanya
tayland diğer mihver ülkelerinden farklı muamele görüyor,aynı şekilde
hong kong dan tür askerler geldi,i şbirlikçi birimler
hong king japonya yardım eden işbirlikçiler kimdi,eski sömürge polisi
hollanda kolonilere sahipti,hollanda doğu hint adaları yeni gine nin batı kesiminde
filipinler ulusunun adı neydi,filipinler milletler topluluğu
japonya almanya 1944 ten birlikte çalışmış mıydı,küçük koordinasyon
çinliler en sonunda karşı saldırıları başarısız oldu,düşük askeri endüstriyel kapasite
japonya çin e misilleme yapmak politikayı benimsedi,three alls policy hepsini öldür hepsini yak hepsini yağdır
japonya nın üç alls politikası neydi,hepsini öldür hepsini yak hepsini yağdır
japonya rakip hükümetleri destekliyor muydu,destek
batı çin japonya yı fransız hindiçin inde caydırmak yaptı,japonya petrol demir cevheri çelik satış durdu
erzağı reddetmek batı ülkeleri önemliydi,faaliyetlerine devam etmek gerekli hammadde inkar
japon medyası tarafından ambargoya deniyordu,abcd amerikan i ngiliz çince hollandaca
batılı güçler japonya kaynak satmayı kesti,japon militarizminin cesaretini kırmak
japonya ilk zaferlerinden barışla başarırdı,asya japon hegemonya yı tanır
japonya nın amerika saldırmadaki stratejik hedefi neydi,toplam fetih tarafından sınırlı askeri hedeflere ulaşarak mağlup
japonya nın ilk zaferlerinden planlanan barış görüşmelerinde tanınmasını istiyordu,kategori asya japon hegemonya
japonya pearl harbor a saldırdığında amerika savaşta mıydı,resmi savaşta
japonya amerika saldırdı,asya japonya nın serbest dizginine izin ver
program amerika nın britanya sovyetler birliği askeri malzeme satmasına izin verdi,ödünç alma
pearl harbor saldırılarından almanya i talya savaş ilan etti,dört gün
güneydoğu asya müttefik kuvvetler yayıldı,ince şekilde
singapur savaşı ndan japonya kaç müttefik esir aldı,130 000 hakkında
wavell abdacom dan istifa ettikten göreve geri döndü,başkomutan hindistan
yenangyaung savaşı sırasında i ngiliz kuvvetlerinin kurtarılmasına önderlik etti,güneş li jen
chiang kai shek in en güçlü ordusu neydi,szechuan ordusu
japonya avustralya yı ülkeden abluka izole etti,amerika birleşik devletleri
yamamoto nun planında kuzey adalarına saldırılacak,aleut adaları
1942 avustralya hava kuvvetleri üssü japon denizcileri tarafından saldırıya uğradı,milne körfezi
milne körfezi yeni gine neredeydi,doğu ucu
japonlar defalarca nereye saldırdı güçleri,henderson sahası
suyun adı ironbottom ses nedeni yeni guadalcanal uzanıyor neydi,gemilerin sayıda battı
i ngiliz hint 14 ordusu gücü almak kuruldu,japonca burma
amerika birleşik devletleri midway savaşı nı takip eden iki yıl içinde endüstriyi neye çevirdi,artan gemi uçak sayısı eğitimli hava mürettebatı
japon gemilerini batıtan denizaltılar yaptı,japonya boğulmuş
roosevelt japonya karşı denizaltılar doktrini verdi,sınırsız denizaltı savaşı
doğu hint adaları ndan sorumlu hollandalı amiral e verilen lakap neydi,günde gemi helfrich
abd donanması neye güvendi,ticaret baskınları
1942 yılının başlarında gerilla denizaltı misyonlarına yol açtı,filipinler müttefik kuvvetler kuşatıldı
amiral nimitze denizaltılara güvendi,düşman üslerinin yakın gözetimi
maru kodu neydi,japon tüccar deniz kodu
1944 yılının ortalarında çin deki saldırının kod adı neydi,ichi go harekâtı
i kinci dünya savaşı ndaki en büyük japon saldırısı neydi,ichi go harekâtı
ichi go operasyonu nun yarattığı sosyal karışıklıktan yararlanabildi,çin komünist gerillaları
1943 te müttefik aksiliklerden komutan burma saldırıları hazırladı,güney doğu asya komutanlığı
japonlar neyi yakalamayı başaramadı,kohima daki savunmalar
çinliler kuzey burma yı zaman işgal etti,1944 ortası
a b d cehennem kedisi savaşçılarına telsiz engelleme emirleri nereden geldi,muharebe bilgi merkezleri
abd uçakları ozawa nın filosunu gün buldu,ikinci
müttefikler ozawa nın kuzey kuvvetleri ni zaman fark etti,16 40 üzerinde 24 ekim
kurita san bernardino boğazı ndan zaman geçti,03 00 üzerinde 25 ekim
kurita altında japon oluşumları kırdı,muhrip saldırıları
amerikan altıncı ordusu nun leyte sahilleri neyden korunuyordu,denizden saldırı
müfreze operasyonu neydi,iwo jima savaşı
adadaki tahkimat ağını yaptı,defans oyuncusu
iwo jima zaman bombardıman altında kaldı,haziran ortalarında 1944
önümüzdeki 500 yıl boyunca deniz piyadesi olacak diyen,deniz kuvvetleri sekreteri james forrestal
10 27 ordu grupları nın çin komutanı kimdi,yingqin
tam abluka hava saldırısı kullanarak abd donanması zorlamayı umuyordu,japon teslimiyeti
ültimatom teslim olmasaydı japonya nın hızlı mutlak yıkımla karşı karşıya kalacağını belirtti,potsdam deklarasyonu
onları teslim etmek planlanan japonya nın abluka bombalanmasının adı neydi,çöküş operasyonu
japonya nın potsdam şartlarını kabul etmeden istediği tek şart neydi,majestelerinin egemen hükümdar ayrıcalığı
teslim durumuyla ilgili japonya cevap verdiniz,imparatorun otoritesi müttefik güçlerin yüksek komutanına tabi olacaktır
japon kabinesi potsdam şartlarını kabul ettiğinde buna deniyordu,kutsal karar
san diego daki en güçlü varlığa sahip askeri şubeler arasında hangisi,abd deniz kuvvetleri
limanın adı kimin içindi,katolik aziz didacus
alta kaydedilecek ilk hıristiyan hizmetini yaptı,rahip antonio la ascensión
cabrillo batı yakası na yolculuğuna çıkmak nereden ayrıldı,navidad yeni i spanya
junipero serra 1769 yılında san diego alcala misyonunu bulmayı görevlendirdi,fransiskan keşiş
san diego nehri kıyısında tepede geliştirildi,san diego kalesi
presidio misyon bugün neler değerlendiriliyor,ulusal tarihi önemli noktalar
san diego 1838 pueblo statüsünü kaybetti,büyüklüğü tahmini 100 ila 150 sakinleri düştü
nüfus presidio tepesi altında fazla yere kaydıkça oldu,presidio tepesi ndeki kale yavaş yavaş terk edildi
san pasqual vadisi nde savaş gerçekleşti,san pasqual muharebesi
californios amerikalıları pueblodan çıkarmak uç tedbir aldılar,californios sığırları pueblo dan uzaklaştırdı
san diego üzerinde meksikalılar amerikalılar arasındaki görüşmelerden kuruldu,kategori meksika amerika sınırı
meksika amerika birleşik devletleri arasındaki sınır san diego körfezi nin en güney ucunun güneyinde lig kuruldu,amerika birleşik devletleri içindeki körfezi dahil etmek
1878 san diego nun ekonomik büyümesinde rol oynayan oldu,demiryolu bağlantısının gelişi
san diego hayvanat bahçesi nin egzotik hayvanlarının çoğu nereden geldi,panama kaliforniya sergileri 1915
ryan havayolları tarafından san diego inşa edilen charles a lindbergh in uçağının adı neydi,st louis in ruhu
bugünkü deniz kuvvetleri hava i stasyonu miramar ın orijinal adı neydi,kearny kampı
askerinin şubesi 1901 yılında san diego güçlü varlığa sahip olmaya başladı,abd deniz kuvvetleri
1923 yılında san diego uçak geliştiricisi kuruldu,konsolide uçak
japonların san diego karşı planladığı saldırının adı neydi,geceleri kiraz çiçeği operasyonu
japonlar san diego kamikaze uçaklarından düşüreceklerdi,veba enfekte pire yersinia pestis
konserve fabrikaları 1980 lerin başında kapatıldı,yükselen maliyetler yabancı rekabet
san diego nehri şehrin içinden yönde geçiyor,doğudan batıya
san diego boyunca kanyonlar tepeler tarafından oluşturulan nedir,doğal açık alan küçük cepler
topluluk san diego şehir merkezi nden yarımadaya bölgeyi kapsar,nokta loma
banka san diego nun en yüksek binası zaman geçirdi,kaliforniya birliği bankası binası
san diego yağış çoğunu zaman alıyor,aralık mart ayları arasında
san diego yu ülkenin en iyi yaz iklimi sıralatan neydi,hava kanalı
san diego tür iklime sahip sınıflandırılır,yarı kurak iklim
bahar bulutu kapağının sıcaklık üzerinde etkisi,havayı serin nemli tutar
san diego nun aralık 1921 yaşadığı hava durumu hakkında önemli olan nedir,kayıtlarda en ıslak ay
san diego alanlarda genellikle en büyük yağış deneyimli,yüksek yükseklik alanları
san diego daki en adaçayı nerede bulabilirim,düşük yükselmeler
dezavantaj adaçayı ovma habitatları birlikte gelir,orman yangına eğilimli
san diego gelgit bataklıklarından kanyonlara şeyi sunabilir,dik çeşitli topoğrafya okyanusa yakınlık farklı yaşam alanları dizi oluşturmak
orada ikamet eden kuş nedeniyle san diego county kelime açıklar,birdiest
2003 yılının tarihi sedir ateşinde kaç dönüm yandı,280 000 dönüm 1 100 km2
sedir yangınından kaç yıl rancho santa fe yi etti,dört yil
2009 yılında san diego nun nüfus yoğunluğu neydi,mil kare başına 3 771 9 kişi 1 456 4 km2
money dergisi san diego yu 2006 yılında değerlendirdi,abd yaşamak beşinci en iyi yer
tarihi misyonu san diego önemli turistik nedir,san diego alcala misyonu
geniş zanaat bira endüstrisinin sonucu şehir takma adı verildi,amerika nın craft bira sermayesi
san diego nun sınır kapısı nerede,girişte san ysidro limanındaki san ysidro mahalle
otay mesa geçişinde kullanılan kamyonların volumtu nedir,amerika birleşik devletleri meksika kara geçişleri arasında üçüncü en yüksek kamyon hacmi ticaretin dolar değeri
san diego ihub i novasyon merkezi bilinir,kablosuz yaşam bilimleri arasında potansiyel işbirliği
at t ağını kullanan san diego hücresel şirket,kriket i letişimi
eset sektörün altına girer,güvenlik
iki alanda biyoteknoloji şirketleri sayısız araştırma tesisi ofisleri,la jolla sorrento vadisi
merkezi san diego iki büyük biyoteknoloji şirketi,i llumina nörokrin biyobilimler
santa fe depot ta müzenin şubesi vardır,san diego çağdaş sanat müzesi mcasd
tarihi gemi sergileri bölgede bulunabilir,columbia bölgesi
uss midway uçak gemisine müze ev sahipliği yapıyor,san diego uçak taşıyıcı müzesi
çeşitli müzikallere oyunlara ev sahipliği yapmak tiyatro biliniyor,lisesi tiyatrolarında san diego repertuar tiyatrosu
opera amerika civic center plaza daki san diego operası na diyordu,amerika birleşik devletleri ndeki en iyi 10 opera şirketinden biri
buick invitational bilinen turnuva nedir,çiftçi sigortası açık
san diego plaj sporu yapıldı,çizgi aşısı
mission bay yıl yatla ilgili etkinlik düzenleniyor,sıra dışı şampiyonalar
i lçenin maaş bordroları nedir,733 milyon dolardan büyük
konsey üyelerinin süresi sürer,dört yıllık dönemler
2007 fazla demokrat cumhuriyetçi mıydı,demokratlar yaklaşık 7 ila 6 cumhuriyetçiler sayıca üstün
kevin faulconer,mevcut belediye başkanı
belediye meclisi üyelerini seçer,şehir içinde tek üye ilçe
belediye meclisinin iki üyesi 2005 yılında gasp suçundan mahkum edildi,ralph inzunza belediye başkan yardımcısı michael zucchet
inzunza zucche kimden para kabul etti,striptiz kulübü sahibi ortakları
başkan bob filner istifa etmek istedi,tekrarlanan cinsel taciz iddiaları
1990 2000 yılları arasında san diego daki suç oranına oldu,san diego 1990 dan 2000 yılına azalan suç oranı vardı
business insider 2013 yılında san diego diyordu,amerika nın 20 güvenli şehri
san diego iki vhf kanalı uygun oldu,çünkü büyük şehre göreceli yakınlığı
san diego bağımsız istasyon,kusi 51
